"Date","Tournament","Home.Team","Away.Team","Period","Clock","Offense.Team","Defense.Team","Offense.Team.Skaters","Defense.Team.Skaters","Offense.Team.Goals","Defense.Team.Goals","Player","Event","X.Coordinate","Y.Coordinate","Detail.1","Detail.2","Detail.3","Detail.4","Player.2","X.Coordinate.2","Y.Coordinate.2","sequence","pass_cluster"
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,80,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Nicole Vallario","Play",64,3,"","","","","Lara Stalder",93,10,33,5
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,82,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Nicole Bullo","Play",43,38,"","","","","Nicole Vallario",52,8,33,6
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,92,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Angelina Goncharenko","Play",16,4,"","","","","Olga Sosina",8,18,36,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,94,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Alexandra Vafina","Play",5,16,"","","","","Angelina Goncharenko",18,3,36,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,98,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Anna Savonina","Play",19,7,"","","","","Alexandra Vafina",5,26,36,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,100,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Angelina Goncharenko","Play",34,6,"","","","","Anna Savonina",43,5,36,6
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,107,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Alexandra Vafina","Incomplete Play",149,27,"","","","","Yekaterina Dobrodeyeva",170,42,40,8
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,112,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Alexandra Vafina","Play",188,17,"","","","","Angelina Goncharenko",132,9,42,10
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,119,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Anna Savonina","Play",127,21,"","","","","Angelina Goncharenko",135,11,43,1
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,121,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Valeria Pavlova","Play",170,5,"","","","","Anna Savonina",127,10,44,10
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,127,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Stefanie Wetli","Incomplete Play",8,23,"","","","","Lena Marie Lutz",47,3,47,6
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,131,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Anna Savonina","Play",88,10,"","","","","Valeria Pavlova",123,41,50,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,133,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Anna Shibanova","Play",68,13,"","","","","Anna Savonina",72,12,50,9
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,139,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Lena Marie Lutz","Incomplete Play",62,26,"","","","","Laura Zimmermann",83,34,54,5
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,141,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Phoebe Staenz","Incomplete Play",26,4,"","","","","Lena Marie Lutz",93,32,55,5
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,145,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Yekaterina Dobrodeyeva","Incomplete Play",157,20,"","","","","Valeria Pavlova",168,42,57,8
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,150,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Valeria Pavlova","Play",68,15,"","","","","Yekaterina Dobrodeyeva",76,29,58,9
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,153,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Stefanie Wetli","Play",93,8,"","","","","Lena Marie Lutz",126,3,60,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,157,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Sinja Leemann","Play",87,26,"","","","","Laura Zimmermann",114,42,62,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,165,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Nicole Bullo","Play",58,1,"","","","","Sinja Leemann",2,38,62,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,166,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Keely Moy","Play",60,0,"","","","","Nicole Bullo",60,0,62,9
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,173,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Fanuza Kadirova","Play",178,8,"","","","","Yelena Provorova",130,11,65,10
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,179,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Yelena Provorova","Play",143,2,"","","","","Oxana Bratishcheva",138,13,68,3
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,188,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Yulia Smirnova","Play",128,19,"","","","","Yelena Provorova",135,18,70,1
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,189,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Fanuza Kadirova","Play",172,4,"","","","","Yulia Smirnova",128,17,70,10
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,191,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Oxana Bratishcheva","Play",196,40,"","","","","Fanuza Kadirova",181,7,70,7
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,195,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Fanuza Kadirova","Play",168,3,"","","","","Oxana Bratishcheva",198,37,70,8
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,200,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Oxana Bratishcheva","Play",75,34,"","","","","Fanuza Kadirova",99,10,70,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,207,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Yulia Smirnova","Play",96,27,"","","","","Oxana Bratishcheva",88,22,71,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,210,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Nicole Vallario","Play",10,20,"","","","","Noemi Ryhner",60,6,73,6
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,215,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Oxana Bratishcheva","Incomplete Play",177,2,"","","","","Anna Shokhina",177,17,75,8
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,217,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Noemi Ryhner","Incomplete Play",18,5,"","","","","Alina Muller",35,21,77,6
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,220,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Nicole Vallario","Play",3,40,"","","","","Noemi Ryhner",21,5,78,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,225,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Shannon Sigrist","Play",7,11,"","","","","Nicole Vallario",3,33,78,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,232,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Olga Sosina","Play",90,8,"","","","","Yulia Smirnova",82,31,81,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,238,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Lara Stalder","Incomplete Play",168,6,"","","","","Shannon Sigrist",169,40,82,8
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,241,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Noemi Ryhner","Play",93,5,"","","","","Lara Stalder",123,20,85,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,243,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Shannon Sigrist","Play",61,25,"","","","","Noemi Ryhner",93,5,85,5
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,245,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Stefanie Wetli","Play",26,9,"","","","","Lara Stalder",45,4,85,6
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,245,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Lara Stalder","Play",45,4,"","","","","Shannon Sigrist",54,31,85,9
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,250,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Veronika Korzhakova","Incomplete Play",142,2,"","","","","Olga Sosina",197,37,87,8
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,253,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Anna Shokhina","Play",62,12,"","","","","Veronika Korzhakova",92,19,88,5
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,268,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Lara Christen","Incomplete Play",65,23,"","","","","Evelina Raselli",87,27,93,5
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,270,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Rahel Enzler","Incomplete Play",74,5,"","","","","Evelina Raselli",78,29,94,9
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,271,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Lara Christen","Play",15,13,"","","","","Rahel Enzler",56,5,95,6
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,274,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Sinja Leemann","Play",9,24,"","","","","Lara Christen",4,24,95,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,279,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Andrea Brandli","Play",1,41,"","","","","Sinja Leemann",1,41,96,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,285,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Alexandra Vafina","Play",40,25,"","","","","Yekaterina Dobrodeyeva",59,10,98,6
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,296,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Nicole Bullo","Play",108,16,"","","","","Phoebe Staenz",130,11,102,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,298,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Yekaterina Dobrodeyeva","Incomplete Play",61,4,"","","","","Valeria Pavlova",105,18,104,5
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,305,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Laura Zimmermann","Incomplete Play",197,38,"","","","","Lena Marie Lutz",180,22,108,7
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,306,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Anna Shibanova","Incomplete Play",17,6,"","","","","Anna Savonina",8,34,110,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,311,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Laura Zimmermann","Incomplete Play",191,9,"","","","","Lena Marie Lutz",169,6,112,7
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,313,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Nicole Bullo","Play",152,1,"","","","","Laura Zimmermann",191,9,113,8
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,315,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Anna Shibanova","Incomplete Play",2,28,"","","","","Yekaterina Dobrodeyeva",40,14,114,6
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,319,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Nicole Vallario","Incomplete Play",132,6,"","","","","Lena Marie Lutz",184,21,116,8
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,321,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Phoebe Staenz","Play",164,22,"","","","","Nicole Vallario",139,6,117,10
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,326,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Phoebe Staenz","Play",85,39,"","","","","Lena Marie Lutz",118,16,119,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,330,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Nicole Bullo","Play",56,32,"","","","","Phoebe Staenz",66,19,119,9
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,333,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Anna Shibanova","Play",38,23,"","","","","Maria Batalova",85,39,121,5
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,333,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Maria Batalova","Play",85,39,"","","","","Lyudmila Belyakova",112,16,121,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,338,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Yulia Smirnova","Play",5,41,"","","","","Anna Shibanova",4,41,121,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,343,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Valeria Merkusheva","Play",17,41,"","","","","Yulia Smirnova",15,37,122,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,355,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Polina Luchnikova","Incomplete Play",192,16,"","","","","Yelena Provorova",131,8,126,10
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,361,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Fanuza Kadirova","Play",174,3,"","","","","Polina Luchnikova",175,3,127,8
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,363,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Polina Luchnikova","Play",146,5,"","","","","Fanuza Kadirova",178,5,127,8
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,364,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Oxana Bratishcheva","Play",128,38,"","","","","Polina Luchnikova",144,16,127,1
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,368,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Oxana Bratishcheva","Play",135,8,"","","","","Yelena Provorova",138,37,128,3
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,369,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Fanuza Kadirova","Play",123,26,"","","","","Oxana Bratishcheva",129,6,128,1
