"Date","Year","Tournament","Home.Team","Away.Team","Period","Clock","Home.Team.Skaters","Away.Team.Skaters","Home.Team.Goals","Away.Team.Goals","Player.Team","Player","Event","X.Coordinate","Y.Coordinate","Detail.1","Detail.2","Detail.3","Detail.4","Player.2","X.Coordinate.2","Y.Coordinate.2"
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1165,5,5,0,0,"Women - Canada","Sarah Fillier","Shot",148,4,"Snapshot","Missed","t","f","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1162,5,5,0,0,"Women - Canada","Jamie Lee Rattray","Puck Recovery",191,11,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1162,5,5,0,0,"Women - Canada","Jamie Lee Rattray","Play",191,11,"Indirect","","","","Renata Fast",126,83
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1159,5,5,0,0,"Women - United States","Lee Stecklein","Takeaway",28,2,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1158,5,5,0,0,"Women - United States","Lee Stecklein","Play",54,3,"Direct","","","","Hilary Knight",94,4
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1157,5,5,0,0,"Women - United States","Hilary Knight","Dump In/Out",94,4,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1156,5,5,0,0,"Women - United States","Hilary Knight","Zone Entry",126,2,"Dumped","","","","Renata Fast",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1153,5,5,0,0,"Women - Canada","Natalie Spooner","Puck Recovery",4,65,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1152,5,5,0,0,"Women - Canada","Natalie Spooner","Play",1,57,"Direct","","","","Jocelyne Larocque",6,22
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1150,5,5,0,0,"Women - Canada","Jocelyne Larocque","Play",31,4,"Indirect","","","","Jamie Lee Rattray",64,2
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1146,5,5,0,0,"Women - Canada","Jamie Lee Rattray","Play",65,6,"Direct","","","","Renata Fast",47,44
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1144,5,5,0,0,"Women - Canada","Renata Fast","Play",57,56,"Direct","","","","Natalie Spooner",103,54
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1142,5,5,0,0,"Women - United States","Savannah Harmon","Puck Recovery",53,46,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1140,5,5,0,0,"Women - United States","Savannah Harmon","Play",71,2,"Direct","","","","Alex Carpenter",93,7
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1139,5,5,0,0,"Women - Canada","Claire Thompson","Puck Recovery",84,57,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1138,5,5,0,0,"Women - Canada","Claire Thompson","Play",75,45,"Direct","","","","Jamie Lee Rattray",114,52
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1137,5,5,0,0,"Women - Canada","Jamie Lee Rattray","Dump In/Out",114,52,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1136,5,5,0,0,"Women - Canada","Jamie Lee Rattray","Zone Entry",124,57,"Dumped","","","","Savannah Harmon",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1134,5,5,0,0,"Women - United States","Maddie Rooney","Puck Recovery",2,42,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1133,5,5,0,0,"Women - United States","Maddie Rooney","Play",2,42,"Indirect","","","","Megan Keller",6,61
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1131,5,5,0,0,"Women - Canada","Natalie Spooner","Takeaway",198,43,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1131,5,5,0,0,"Women - Canada","Natalie Spooner","Play",194,37,"Direct","","","","Jamie Lee Rattray",172,36
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1128,5,5,0,0,"Women - Canada","Natalie Spooner","Puck Recovery",196,51,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1128,5,5,0,0,"Women - Canada","Natalie Spooner","Play",192,52,"Direct","","","","Jamie Lee Rattray",183,46
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1127,5,5,0,0,"Women - Canada","Natalie Spooner","Puck Recovery",194,52,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1127,5,5,0,0,"Women - Canada","Natalie Spooner","Play",194,52,"Direct","","","","Jamie Lee Rattray",184,50
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1125,5,5,0,0,"Women - United States","Amanda Kessel","Puck Recovery",28,61,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1124,5,5,0,0,"Women - United States","Amanda Kessel","Play",37,72,"Direct","","","","Alex Carpenter",72,62
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1121,5,5,0,0,"Women - United States","Alex Carpenter","Play",110,63,"Direct","","","","Megan Keller",128,35
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1119,5,5,0,0,"Women - United States","Abby Roque","Faceoff Win",120,21,"Backhand","","","","Blayre Turnbull",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1118,5,5,0,0,"Women - United States","Lee Stecklein","Puck Recovery",105,20,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1117,5,5,0,0,"Women - United States","Lee Stecklein","Dump In/Out",105,24,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1117,5,5,0,0,"Women - United States","Lee Stecklein","Zone Entry",125,30,"Dumped","","","","Ashton Bell",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1116,5,5,0,0,"Women - Canada","Ann-Renee Desbiens","Puck Recovery",16,40,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1115,5,5,0,0,"Women - Canada","Ann-Renee Desbiens","Play",22,31,"Direct","","","","Mich Zandee-Hart",19,21
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1112,5,5,0,0,"Women - Canada","Mich Zandee-Hart","Play",2,36,"Indirect","","","","Emily Clark",12,10
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1110,5,5,0,0,"Women - Canada","Emily Clark","Play",9,12,"Direct","","","","Blayre Turnbull",26,20
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1107,5,5,0,0,"Women - Canada","Blayre Turnbull","Play",59,6,"Indirect","","","","Rebecca Johnston",112,17
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1102,5,5,0,0,"Women - Canada","Emily Clark","Puck Recovery",10,9,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1099,5,5,0,0,"Women - United States","Abby Roque","Puck Recovery",150,69,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1095,5,5,0,0,"Women - United States","Abby Roque","Shot",177,57,"Snapshot","On Net","f","f","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1094,5,5,0,0,"Women - Canada","Marie-Philip Poulin","Faceoff Win",31,20,"Backhand","","","","Kelly Pannek",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1092,5,5,0,0,"Women - Canada","Renata Fast","Puck Recovery",10,9,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1092,5,5,0,0,"Women - Canada","Renata Fast","Play",10,9,"Indirect","","","","Jocelyne Larocque",2,42
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1090,5,5,0,0,"Women - Canada","Brianne Jenner","Puck Recovery",21,81,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1090,5,5,0,0,"Women - Canada","Brianne Jenner","Play",21,81,"Direct","","","","Jocelyne Larocque",17,76
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1089,5,5,0,0,"Women - Canada","Jocelyne Larocque","Dump In/Out",21,74,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1086,5,5,0,0,"Women - United States","Megan Keller","Puck Recovery",141,5,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1085,5,5,0,0,"Women - United States","Megan Keller","Play",134,3,"Direct","","","","Kelly Pannek",151,6
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1083,5,5,0,0,"Women - United States","Kelly Pannek","Puck Recovery",163,32,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1083,5,5,0,0,"Women - United States","Kelly Pannek","Shot",163,32,"Snapshot","On Net","f","f","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1082,5,5,0,0,"Women - Canada","Marie-Philip Poulin","Faceoff Win",31,64,"Backhand","","","","Kelly Pannek",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1080,5,5,0,0,"Women - Canada","Marie-Philip Poulin","Puck Recovery",29,64,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1080,5,5,0,0,"Women - Canada","Marie-Philip Poulin","Play",29,64,"Direct","","","","Claire Thompson",16,59
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1076,5,5,0,0,"Women - Canada","Marie-Philip Poulin","Puck Recovery",1,56,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1074,5,5,0,0,"Women - Canada","Erin Ambrose","Puck Recovery",8,57,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1072,5,5,0,0,"Women - Canada","Erin Ambrose","Play",37,67,"Direct","","","","Sarah Nurse",62,27
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1069,5,5,0,0,"Women - Canada","Sarah Nurse","Dump In/Out",103,18,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1069,5,5,0,0,"Women - Canada","Sarah Nurse","Zone Entry",124,8,"Dumped","","","","Cayla Barnes",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1067,5,5,0,0,"Women - United States","Maddie Rooney","Puck Recovery",2,43,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1066,5,5,0,0,"Women - United States","Maddie Rooney","Play",5,41,"Direct","","","","Cayla Barnes",12,70
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1064,5,5,0,0,"Women - United States","Grace Zumwinkle","Puck Recovery",33,84,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1064,5,5,0,0,"Women - United States","Grace Zumwinkle","Dump In/Out",35,82,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1062,5,5,0,0,"Women - Canada","Sarah Nurse","Puck Recovery",151,5,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1061,5,5,0,0,"Women - Canada","Sarah Nurse","Shot",154,2,"Snapshot","Missed","f","f","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1060,5,5,0,0,"Women - United States","Megan Keller","Puck Recovery",25,64,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1059,5,5,0,0,"Women - United States","Megan Keller","Play",18,47,"Direct","","","","Dani Cameranesi",46,16
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1057,5,5,0,0,"Women - United States","Dani Cameranesi","Dump In/Out",51,14,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1055,5,5,0,0,"Women - Canada","Claire Thompson","Puck Recovery",78,57,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1054,5,5,0,0,"Women - Canada","Claire Thompson","Dump In/Out",77,64,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1053,5,5,0,0,"Women - Canada","Claire Thompson","Zone Entry",124,81,"Dumped","","","","Megan Keller",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1050,5,5,0,0,"Women - United States","Cayla Barnes","Puck Recovery",12,51,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1047,5,5,0,0,"Women - United States","Cayla Barnes","Play",45,10,"Direct","","","","Jesse Compher",80,45
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1044,5,5,0,0,"Women - United States","Megan Keller","Puck Recovery",42,40,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1042,5,5,0,0,"Women - United States","Megan Keller","Dump In/Out",59,8,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1040,5,5,0,0,"Women - Canada","Sarah Fillier","Faceoff Win",169,64,"Backhand","","","","Jesse Compher",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1038,5,5,0,0,"Women - Canada","Jamie Lee Rattray","Puck Recovery",170,82,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1038,5,5,0,0,"Women - Canada","Jamie Lee Rattray","Play",171,83,"Indirect","","","","Ashton Bell",128,80
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1036,5,5,0,0,"Women - Canada","Ashton Bell","Shot",132,82,"Snapshot","Blocked","t","f","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1032,5,5,0,0,"Women - Canada","Natalie Spooner","Puck Recovery",198,59,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1032,5,5,0,0,"Women - Canada","Natalie Spooner","Play",198,59,"Indirect","","","","Jamie Lee Rattray",197,41
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1030,5,5,0,0,"Women - Canada","Jamie Lee Rattray","Play",195,66,"Indirect","","","","Ashton Bell",130,78
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1028,5,5,0,0,"Women - Canada","Ashton Bell","Play",127,67,"Direct","","","","Mich Zandee-Hart",130,22
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1026,5,5,0,0,"Women - Canada","Mich Zandee-Hart","Play",135,5,"Indirect","","","","Sarah Fillier",197,19
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1024,5,5,0,0,"Women - Canada","Sarah Fillier","Play",197,19,"Direct","","","","Jamie Lee Rattray",197,38
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1021,5,5,0,0,"Women - United States","Jesse Compher","Puck Recovery",2,49,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1021,5,5,0,0,"Women - United States","Jesse Compher","Play",2,49,"Direct","","","","Hayley Scamurra",29,27
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1021,5,5,0,0,"Women - Canada","Natalie Spooner","Takeaway",196,60,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1017,5,5,0,0,"Women - Canada","Natalie Spooner","Shot",158,50,"Snapshot","Missed","f","f","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1017,5,5,0,0,"Women - United States","Cayla Barnes","Puck Recovery",27,45,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1017,5,5,0,0,"Women - United States","Cayla Barnes","Dump In/Out",27,45,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1014,5,5,0,0,"Women - Canada","Natalie Spooner","Puck Recovery",148,17,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1014,5,5,0,0,"Women - Canada","Natalie Spooner","Dump In/Out",152,7,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1012,5,5,0,0,"Women - United States","Cayla Barnes","Puck Recovery",2,53,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1008,5,5,0,0,"Women - United States","Cayla Barnes","Play",26,5,"Direct","","","","Jesse Compher",51,23
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1005,5,5,0,0,"Women - United States","Jesse Compher","Dump In/Out",99,5,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1005,5,5,0,0,"Women - United States","Jesse Compher","Zone Entry",126,3,"Dumped","","","","Ashton Bell",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1003,5,5,0,0,"Women - Canada","Ann-Renee Desbiens","Puck Recovery",1,47,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1002,5,5,0,0,"Women - Canada","Ann-Renee Desbiens","Play",3,48,"Direct","","","","Renata Fast",11,71
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1001,5,5,0,0,"Women - Canada","Renata Fast","Play",4,70,"Indirect","","","","Ashton Bell",1,25
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,996,5,5,0,0,"Women - Canada","Ashton Bell","Play",60,3,"Direct","","","","Rebecca Johnston",104,23
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,992,5,5,0,0,"Women - Canada","Blayre Turnbull","Puck Recovery",110,8,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,991,5,5,0,0,"Women - Canada","Emily Clark","Puck Recovery",106,7,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,989,5,5,0,0,"Women - Canada","Emily Clark","Zone Entry",125,23,"Carried","","","","Megan Bozek",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,987,5,5,0,0,"Women - Canada","Emily Clark","Play",159,9,"Direct","","","","Rebecca Johnston",154,36
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,987,5,5,0,0,"Women - Canada","Rebecca Johnston","Shot",154,36,"Fan","Missed","f","t","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,984,5,5,0,0,"Women - Canada","Renata Fast","Puck Recovery",189,63,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,980,5,5,0,0,"Women - Canada","Renata Fast","Play",137,38,"Direct","","","","Jocelyne Larocque",143,67
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,979,5,5,0,0,"Women - Canada","Jocelyne Larocque","Shot",143,67,"Snapshot","Blocked","f","t","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,976,5,5,0,0,"Women - United States","Hannah Brandt","Faceoff Win",31,21,"Backhand","","","","Brianne Jenner",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,973,5,5,0,0,"Women - United States","Hannah Brandt","Puck Recovery",16,15,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,973,5,5,0,0,"Women - United States","Hannah Brandt","Play",16,15,"Indirect","","","","Hilary Knight",23,81
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,969,5,5,0,0,"Women - United States","Hilary Knight","Play",7,64,"Indirect","","","","Megan Bozek",6,24
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,967,5,5,0,0,"Women - United States","Megan Bozek","Play",7,18,"Indirect","","","","Kendall Coyne Schofield",68,2
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,964,5,5,0,0,"Women - Canada","Sarah Nurse","Puck Recovery",121,83,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,963,5,5,0,0,"Women - Canada","Sarah Nurse","Dump In/Out",112,81,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,962,5,5,0,0,"Women - Canada","Sarah Nurse","Zone Entry",124,83,"Dumped","","","","Megan Bozek",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,961,5,5,0,0,"Women - United States","Megan Bozek","Puck Recovery",58,5,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,961,5,5,0,0,"Women - United States","Megan Bozek","Play",45,7,"Direct","","","","Savannah Harmon",42,57
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,958,5,5,0,0,"Women - United States","Savannah Harmon","Play",73,69,"Indirect","","","","Hilary Knight",114,82
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,957,5,5,0,0,"Women - United States","Hilary Knight","Dump In/Out",114,82,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,956,5,5,0,0,"Women - United States","Hilary Knight","Zone Entry",125,84,"Dumped","","","","Jocelyne Larocque",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,954,5,5,0,0,"Women - Canada","Brianne Jenner","Puck Recovery",54,5,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,954,5,5,0,0,"Women - Canada","Brianne Jenner","Dump In/Out",54,5,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,952,5,5,0,0,"Women - United States","Lee Stecklein","Puck Recovery",103,77,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,948,5,5,0,0,"Women - United States","Lee Stecklein","Play",71,29,"Indirect","","","","Kendall Coyne Schofield",119,3
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,947,5,5,0,0,"Women - United States","Kendall Coyne Schofield","Dump In/Out",119,3,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,947,5,5,0,0,"Women - United States","Kendall Coyne Schofield","Zone Entry",125,2,"Dumped","","","","Renata Fast",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,944,5,5,0,0,"Women - Canada","Jocelyne Larocque","Puck Recovery",0,47,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,942,5,5,0,0,"Women - Canada","Jocelyne Larocque","Play",6,14,"Indirect","","","","Renata Fast",3,49
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,938,5,5,0,0,"Women - Canada","Renata Fast","Play",23,67,"Direct","","","","Sarah Fillier",53,53
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,935,5,5,0,0,"Women - Canada","Sarah Fillier","Play",122,63,"Direct","","","","Brianne Jenner",142,81
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,934,5,5,0,0,"Women - Canada","Brianne Jenner","Zone Entry",124,64,"Played","","","","Lee Stecklein",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,928,5,5,0,0,"Women - Canada","Claire Thompson","Puck Recovery",174,2,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,928,5,5,0,0,"Women - Canada","Claire Thompson","Play",174,2,"Indirect","","","","Sarah Fillier",198,26
