"player_name","clock_seconds","x_coord","y_coord","def_in_frame","min_dist_from_pl","min_dist_from_pl_name","sec_dist_from_pl","sec_dist_from_pl_name","num_def_near_pl","pass_rushed","reciever_crowded","pass_distance","game_date","season_year","team_name","opp_team_name","venue","period","situation_type","goals_for","goals_against","event","event_successful","event_type","player_name_2","x_coord_2","y_coord_2","min_dist_from_pl_def_percent","sec_dist_from_pl_def_percent","pass_cluster"
"Alina Muller",653,146,14,5,90.8142237233215,"Anna Shibanova",94.3834611953853,"Olga Sosina",0,0,0,21.9544984001001,"12/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia","away",3,"5 on 4",2,1,"Play",1,"Direct","Lara Christen",135,33,0.94985020160675,0.946235537528992,3
"Alina Muller",653,166,10,5,3.00063689689734,"Anni Keisala",3.68627985028763,"Susanna Tapani",2,0,0,34.5253530032641,"16/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Finland","away",1,"5 on 4",0,0,"Play",1,"Direct","Lara Christen",132,16,0.970833837985992,0.97714102268219,10
"Alina Muller",714,109,9,3,9.05284009293309,"Nina Pirogova",35.3864524554948,"Yekaterina Dobrodeyeva",0,0,0,15.52417469626,"12/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia","away",1,"5 on 4",0,0,"Play",1,"Direct","Phoebe Staenz",124,5,0.976726174354553,0.985580265522003,4
"Alina Muller",727,142,82,5,32.1426022925466,"Polina Luchnikova",45.6101042775418,"Yelena Provorova",0,0,0,29.8328677803526,"12/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia","away",1,"5 on 4",0,0,"Play",0,"Direct","Keely Moy",171,75,0.928744196891785,0.791869819164276,1
"Alina Muller",735,129,60,5,63.456704792358,"Polina Luchnikova",93.8092043068726,"Oxana Bratishcheva",0,0,0,21.8403296678416,"12/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia","away",1,"5 on 4",0,0,"Play",1,"Direct","Lara Stalder",135,39,0.890241622924805,0.957943975925446,3
"Alina Muller",745,147,26,5,68.243842318032,"Polina Luchnikova",77.2101144102589,"Oxana Bratishcheva",0,0,0,23.0217288664427,"12/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia","away",1,"5 on 4",0,0,"Play",1,"Direct","Lara Christen",134,45,0.976645231246948,0.980939030647278,3
"Alina Muller",86,188,18,5,105.124800712934,"Laura Stacey",126.098030880681,"Ella Shelton",0,0,0,7.07106781186548,"14/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Canada","away",1,"5 on 4",0,5,"Play",1,"Direct","Lara Stalder",183,13,0.970833837985992,0.97714102268219,7
"Amanda Kessel",151,135,22,5,77.0730996325105,"Marie-Philip Poulin",83.0266362299065,"Blayre Turnbull",0,0,0,19.313207915828,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Cayla Barnes",128,40,0.954532027244568,0.924295842647552,3
"Amanda Kessel",157,187,19,5,10.7777925488674,"Blayre Turnbull",16.2403771864275,"Ashton Bell",0,0,0,54.0092584655631,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Cayla Barnes",133,18,0.91675990819931,0.939236342906952,10
"Amanda Kessel",180,154,17,5,81.1769998597635,"Blayre Turnbull",86.2659219626132,"Jocelyne Larocque",0,0,0,21.1896201004171,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Alex Carpenter",147,37,0.877865850925446,0.8701131939888,3
"Amanda Kessel",199,163,9,5,43.4061082049199,"Emily Clark",45.1430171189556,"Jocelyne Larocque",0,0,0,39.1152144312159,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Cayla Barnes",130,30,0.967072486877441,0.945944786071777,10
"Amanda Kessel",205,193,21,5,54.4385391381874,"Emily Clark",59.1865058312814,"Renata Fast",0,0,0,31.3209195267317,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Abby Roque",163,12,0.941670715808868,0.928518116474152,7
"Amanda Kessel",928,158,4,5,39.0029398461773,"Jocelyne Larocque",44.5389575870355,"Laura Stacey",0,0,0,30.8058436014987,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",2,"5 on 4",0,1,"Play",1,"Direct","Megan Keller",128,11,0.943243741989136,0.952110111713409,10
"Anna Shibanova",101,127,42,5,16.0731115680749,"Lara Stalder",29.9952198627513,"Alina Muller",0,0,0,39.8120584747888,"12/2/2022",2021,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland","home",3,"5 on 4",2,3,"Play",1,"Direct","Olga Sosina",135,81,0.96247124671936,0.929784417152405,3
"Anna Shibanova",40,149,43,5,7.98344279148077,"Alina Muller",19.9118299527779,"Lara Stalder",0,0,0,28.1602556806574,"12/2/2022",2021,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland","home",3,"5 on 4",2,3,"Play",1,"Direct","Olga Sosina",152,71,0.943028926849365,0.917315602302551,3
"Anna Shibanova",45,150,39,5,9.53528722028616,"Alina Muller",15.9695021838503,"Lara Stalder",0,0,0,25.298221281347,"12/2/2022",2021,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland","home",3,"5 on 4",2,3,"Play",1,"Direct","Olga Sosina",158,63,0.733063459396362,0.665777206420898,1
"Anna Shibanova",50,131,45,5,10.945833358,"Alina Muller",22.901923102,"Lara Stalder",0,0,0,25,"12/2/2022",2021,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland","home",3,"5 on 4",2,3,"Play",1,"Direct","Olga Sosina",146,65,0.714798450469971,0.531361997127533,3
"Anna Shibanova",57,130,61,5,18.5864185780505,"Alina Muller",27.0594980567445,"Lara Stalder",0,0,0,54.6260011349907,"12/2/2022",2021,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland","home",3,"5 on 4",2,3,"Play",1,"Direct","Anna Shokhina",152,11,0.955784797668457,0.940872430801392,3
"Anna Shibanova",73,131,15,5,19.4423077,"Lara Stalder",28.1428571,"Alina Muller",0,0,0,61,"12/2/2022",2021,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland","home",3,"5 on 4",2,3,"Play",1,"Direct","Olga Sosina",131,76,0.941504061222076,0.956185638904572,3
"Anna Shibanova",96,130,56,5,13.5321547096443,"Lara Stalder",29.127790017978,"Stefanie Wetli",0,0,0,32.3882694814033,"12/2/2022",2021,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland","home",3,"5 on 4",2,3,"Play",1,"Direct","Anna Shokhina",135,24,0.648418247699738,0.860743403434753,3
"Anna Shokhina",54,134,14,5,10.4736123801163,"Lara Stalder",19.999559392253,"Alina Muller",0,0,0,45.8802789878178,"12/2/2022",2021,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland","home",3,"5 on 4",2,3,"Play",1,"Direct","Anna Shibanova",147,58,0.828404009342194,0.924266338348389,3
"Anna Shokhina",66,133,16,5,0.134534558799273,"Lara Stalder",20.0434234776256,"Alina Muller",1,0,0,59.464274989274,"12/2/2022",2021,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland","home",3,"5 on 4",2,3,"Play",1,"Direct","Olga Sosina",153,72,0.892107605934143,0.891678869724274,3
"Anna Shokhina",74,155,4,5,40.6438419278758,"Stefanie Wetli",43.2995113635767,"Andrea Brandli",0,0,0,24.0831891575846,"12/2/2022",2021,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland","home",3,"5 on 4",2,3,"Play",1,"Direct","Anna Shibanova",131,6,0.969588816165924,0.680161774158478,10
"Brianne Jenner",105,195,38,4,52.6518719868307,NA,53.7247597230137,"Sarah Forster",0,0,0,9.48683298050514,"14/2/2022",2021,"Olympic (Women) - Canada","Olympic (Women) - Switzerland","home",2,"5 on 4",8,3,"Play",1,"Direct","Rebecca Johnston",186,35,0.84612512588501,0.771529614925385,8
"Brianne Jenner",375,185,7,5,34.3404875327315,"Amanda Kessel",36.4883283607102,"Maddie Rooney",0,0,0,46.0434577328854,"8/2/2022",2021,"Olympic (Women) - Canada","Olympic (Women) - United States","away",1,"5 on 4",0,0,"Play",1,"Direct","Marie-Philip Poulin",139,5,0.972968697547913,0.94278746843338,10
"Cayla Barnes",154,133,32,5,51.7994545497174,"Blayre Turnbull",61.2428583662546,"Marie-Philip Poulin",0,0,0,32.649655434629,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Amanda Kessel",158,11,0.955784797668457,0.940872430801392,1
"Cayla Barnes",169,139,19,5,90.8061797706777,"Marie-Philip Poulin",104.805511331192,"Blayre Turnbull",0,0,0,39.8497176903426,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Kelly Pannek",151,57,0.788907468318939,0.867859125137329,3
"Cayla Barnes",191,91,64,3,14.7940319944414,"Emily Clark",33.5450460839934,"Blayre Turnbull",0,0,0,56.0357029044876,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",0,"Direct","Amanda Kessel",123,18,0.892107605934143,0.891678869724274,4
"Cayla Barnes",194,50,39,4,27.4081099188586,"Blayre Turnbull",31.9176028272704,"Emily Clark",0,0,0,85.2349693494401,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",2,"5 on 4",2,3,"Play",1,"Direct","Abby Roque",123,83,0.87992662191391,0.831723928451538,5
"Cayla Barnes",541,130,22,5,26.2789949976107,"Emily Clark",37.8848016079627,"Blayre Turnbull",0,0,0,31.9061122670876,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",3,"5 on 4",2,4,"Play",1,"Direct","Hilary Knight",157,5,0.94026118516922,0.918738782405853,3
"Cayla Barnes",945,24,57,2,5.03596173837365,"Jocelyne Larocque",18.6239332309921,"Emma Maltais",0,0,0,25.4558441227157,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",2,"5 on 4",0,1,"Play",1,"Direct","Hannah Brandt",42,75,0.943243741989136,0.952110111713409,6
"Cayla Barnes",988,129,21,5,20.0837305984484,"Blayre Turnbull",25.5568337744966,"Emily Clark",0,0,0,49.3659801887899,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",2,"5 on 4",0,1,"Play",1,"Direct","Jincy Dunne",135,70,0.973611116409302,0.962355315685272,3
"Claire Thompson",176,133,44,4,83.2036399926199,NA,98.8009136829105,"Keely Moy",0,0,0,20.8806130178211,"14/2/2022",2021,"Olympic (Women) - Canada","Olympic (Women) - Switzerland","home",2,"5 on 4",8,3,"Play",1,"Direct","Melodie Daoust",139,24,0.924336016178131,0.928518116474152,3
"Claire Thompson",191,133,25,4,88.3947326735503,NA,101.111190137807,"Keely Moy",0,0,0,44.6430285710994,"14/2/2022",2021,"Olympic (Women) - Canada","Olympic (Women) - Switzerland","home",2,"5 on 4",8,3,"Play",1,"Direct","Jocelyne Larocque",145,68,0.973611116409302,0.848085403442383,3
"Claire Thompson",201,138,33,4,94.197330273298,NA,109.192872037118,"Keely Moy",0,0,0,22.2036033111745,"14/2/2022",2021,"Olympic (Women) - Canada","Olympic (Women) - Switzerland","home",2,"5 on 4",8,3,"Play",1,"Direct","Sarah Nurse",141,55,0.954970717430115,0.626485407352448,3
"Dominique Ruegg",252,64,59,4,9.3290511,"Jillian Saulnier",12.16088679,"Mich Zandee-Hart",0,0,0,33,"14/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Canada","away",1,"5 on 4",0,5,"Play",1,"Direct","Rahel Enzler",97,59,0.943243741989136,0.952110111713409,5
"Dominique Ruegg",38,196,56,5,162.724647952884,"Susanna Tapani",163.454420663139,"Michelle Karvinen",0,0,0,25.0798724079689,"16/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Finland","away",1,"5 on 4",0,1,"Play",1,"Direct","Nicole Vallario",186,79,0.976645231246948,0.980939030647278,8
"Dominique Ruegg",56,197,43,5,151.065473793196,"Michelle Karvinen",152.393437904365,"Susanna Tapani",0,0,0,40.7185461430047,"16/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Finland","away",1,"5 on 4",0,1,"Play",1,"Direct","Evelina Raselli",180,80,0.943028926849365,0.917315602302551,8
"Dominique Ruegg",662,156,33,5,114.33081389344,"Olga Sosina",131.457983538798,"Anna Shibanova",0,0,0,21.540659228538,"12/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia","away",3,"5 on 4",2,1,"Play",1,"Direct","Rahel Enzler",164,53,0.976588606834412,0.960358023643494,1
"Elisa Holopainen",127,166,17,5,6.30314672845573,"Anna Savonina",8.13133151074311,"Veronika Korzhakova",0,0,0,45.0111097397076,"8/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Olympic Athletes from Russia","home",1,"5 on 4",1,0,"Play",0,"Direct","Nelli Laitinen",167,62,0.973485708236694,0.973146557807922,1
"Elisa Holopainen",139,176,12,5,25.4761706716849,"Anna Savonina",28.0136772237279,"Maria Sorokina",0,0,0,46.2709412050371,"8/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Olympic Athletes from Russia","home",1,"5 on 4",1,0,"Play",1,"Direct","Minnamari Tuominen",130,7,0.975635528564453,0.979363739490509,10
"Elisa Holopainen",145,193,22,5,140.123906268869,"Noemi Ryhner",143.193362403058,"Alina Muller",0,0,0,6.70820393249937,"16/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Switzerland","home",2,"5 on 4",1,0,"Play",1,"Direct","Viivi Vainikka",190,28,0.95469206571579,0.964821875095367,8
"Elisa Holopainen",156,148,5,5,31.5729093653257,"Veronika Korzhakova",43.4868743979518,"Maria Batalova",0,0,0,21.9317121994613,"8/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Olympic Athletes from Russia","home",1,"5 on 4",1,0,"Play",1,"Direct","Minnamari Tuominen",133,21,0.846366286277771,0.898315668106079,3
"Elisa Holopainen",165,187,25,5,94.7479427164118,"Alina Muller",100.152530666787,"Noemi Ryhner",0,0,0,16.2788205960997,"16/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Switzerland","home",2,"5 on 4",1,0,"Play",1,"Direct","Ronja Savolainen",175,36,0.957836031913757,0.979363739490509,8
"Elisa Holopainen",180,156,4,5,47.6942855583767,"Noemi Ryhner",50.6245936299422,"Alina Muller",0,0,0,30.6104557300279,"16/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Switzerland","home",2,"5 on 4",1,0,"Play",1,"Direct","Minnamari Tuominen",132,23,0.960554599761963,0.973146557807922,10
"Elisa Holopainen",189,171,20,5,41.9707896514559,"Noemi Ryhner",42.2773678489427,"Alina Muller",0,0,0,44.7213595499958,"16/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Switzerland","home",2,"5 on 4",1,0,"Play",1,"Direct","Minnamari Tuominen",131,40,0.935693264007568,0.910687863826752,10
"Elisa Holopainen",200,166,20,5,125.557467574642,"Alina Muller",136.373650199759,"Sarah Forster",0,0,0,45.0444225182208,"16/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Switzerland","home",2,"5 on 4",1,0,"Play",0,"Direct","Nelli Laitinen",164,65,0.965646624565125,0.940833210945129,1
"Elisa Holopainen",355,161,26,4,8.5625738854961,NA,10.3524535171788,"Lena Marie Lutz",0,0,0,34.8855270850248,"16/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Switzerland","home",3,"5 on 4",2,0,"Play",1,"Direct","Minnamari Tuominen",130,42,0.959203839302063,0.963237464427948,10
"Elisa Holopainen",360,164,4,4,32.0225179529214,"Lena Marie Lutz",37.0962957695381,NA,0,0,0,51.6236379965612,"16/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Switzerland","home",3,"5 on 4",2,0,"Play",1,"Direct","Minnamari Tuominen",128,41,0.485464781522751,0.699849545955658,10
"Elisa Holopainen",368,136,5,3,31.6674433429351,NA,35.3071487651119,"Lena Marie Lutz",0,0,0,21.9317121994613,"16/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Switzerland","home",3,"5 on 4",2,0,"Play",1,"Direct","Minnamari Tuominen",127,25,0.958127915859222,0.905270636081696,3
"Elisa Holopainen",780,189,34,5,1.32822257836571,"Polina Luchnikova",9.60867336813337,"Valeria Merkusheva",1,0,0,13.9283882771841,"8/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Olympic Athletes from Russia","home",3,"5 on 4",5,0,"Play",1,"Direct","Ronja Savolainen",176,39,0.781166851520538,0.855013370513916,8
"Elisa Holopainen",790,141,3,5,34.533269308949,"Polina Luchnikova",46.6408953667525,"Oxana Bratishcheva",0,0,0,34.0147027033899,"8/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Olympic Athletes from Russia","home",3,"5 on 4",5,0,"Play",1,"Direct","Nelli Laitinen",127,34,0.741955518722534,0.745256662368774,3
"Erin Ambrose",124,140,20,4,6.09079244401289,"Sarah Forster",7.61050787734041,NA,0,0,0,30.0665927567458,"14/2/2022",2021,"Olympic (Women) - Canada","Olympic (Women) - Switzerland","home",2,"5 on 4",8,3,"Play",1,"Direct","Rebecca Johnston",170,18,0.976588606834412,0.946235537528992,1
"Erin Ambrose",139,135,51,4,84.7669525278306,NA,103.641363415535,"Keely Moy",0,0,0,47.5184174820669,"14/2/2022",2021,"Olympic (Women) - Canada","Olympic (Women) - Switzerland","home",2,"5 on 4",8,3,"Play",1,"Direct","Marie-Philip Poulin",142,4,0.970833837985992,0.97714102268219,3
"Erin Ambrose",155,131,50,4,79.2327122803712,NA,91.354909219617,"Keely Moy",0,0,0,29.5465734053883,"14/2/2022",2021,"Olympic (Women) - Canada","Olympic (Women) - Switzerland","home",2,"5 on 4",8,3,"Play",1,"Direct","Melodie Daoust",143,23,0.958482146263123,0.974939405918121,3
"Erin Ambrose",355,130,51,5,10.6152275697513,"Amanda Kessel",30.1132761192066,"Alex Carpenter",0,0,0,30.6757233003559,"8/2/2022",2021,"Olympic (Women) - Canada","Olympic (Women) - United States","away",1,"5 on 4",0,0,"Play",1,"Direct","Marie-Philip Poulin",140,22,0.955304026603699,0.828032433986664,3
"Erin Ambrose",359,133,50,5,29.4323764678769,"Amanda Kessel",34.9686738060224,"Alex Carpenter",0,0,0,12.369316876853,"8/2/2022",2021,"Olympic (Women) - Canada","Olympic (Women) - United States","away",1,"5 on 4",0,0,"Play",1,"Direct","Rebecca Johnston",136,62,0.961156070232391,0.937608420848846,3
"Erin Ambrose",363,139,55,5,0.606454326290965,"Maddie Rooney",3.99501315378476,"Megan Keller",2,0,0,39.2173431022552,"8/2/2022",2021,"Olympic (Women) - Canada","Olympic (Women) - United States","away",1,"5 on 4",0,0,"Play",1,"Direct","Brianne Jenner",176,42,0.972968697547913,0.94278746843338,1
"Evelina Raselli",42,174,12,5,74.401987263832,"Susanna Tapani",77.6549955897124,"Michelle Karvinen",0,0,0,17.6918060129541,"16/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Finland","away",1,"5 on 4",0,1,"Play",1,"Direct","Rahel Enzler",162,25,0.870819449424744,0.883619666099548,8
"Evelina Raselli",45,156,5,5,11.5936092791493,"Susanna Tapani",23.1180029312931,"Minnamari Tuominen",0,0,0,26.0192236625154,"16/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Finland","away",1,"5 on 4",0,1,"Play",1,"Direct","Sinja Leemann",130,6,0.947223961353302,0.840209662914276,10
"Evelina Raselli",54,165,82,5,4.38835442405018,"Anni Keisala",4.55908412606124,"Michelle Karvinen",1,0,0,26.6833281282527,"16/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Finland","away",1,"5 on 4",0,1,"Play",1,"Direct","Nicole Vallario",139,76,0.890241622924805,0.957943975925446,10
"Hannah Brandt",135,80,79,2,2.68502595592413,"Sarah Nurse",4.01209685912298,"Brianne Jenner",2,0,0,34.6698716467194,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Hilary Knight",109,60,0.973485708236694,0.973146557807922,4
"Hannah Brandt",944,58,77,3,24.0317007814439,"Laura Stacey",48.1234339948551,"Emma Maltais",0,0,0,57.4891294072192,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",2,"5 on 4",0,1,"Play",1,"Direct","Kendall Coyne Schofield",95,33,0.967650651931763,0.95184737443924,5
"Hannah Brandt",980,164,23,5,16.0150419997276,"Ann-Renee Desbiens",21.3227430983923,"Renata Fast",0,0,0,23.7697286480094,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",2,"5 on 4",0,1,"Play",1,"Direct","Hilary Knight",187,29,0.785778939723969,0.867859125137329,8
"Hilary Knight",125,159,7,5,54.910667350105,"Sarah Nurse",61.7392310955989,"Brianne Jenner",0,0,0,39.6988664825584,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Savannah Harmon",129,33,0.959203839302063,0.963237464427948,10
"Hilary Knight",221,72,76,4,3.82845733980527,"Emma Maltais",10.7119381852614,"Ashton Bell",1,0,0,53.8144961882948,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",2,"5 on 4",2,3,"Play",1,"Direct","Kendall Coyne Schofield",108,36,0.785778939723969,0.867859125137329,4
"Hilary Knight",544,168,14,5,44.9780295875083,"Mich Zandee-Hart",48.3935839578165,"Blayre Turnbull",0,0,0,29.4108823397055,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",3,"5 on 4",2,4,"Play",1,"Direct","Cayla Barnes",140,5,0.978201627731323,0.920147180557251,10
"Hilary Knight",938,157,7,5,22.0719136845208,"Jocelyne Larocque",33.6125965850104,"Laura Stacey",0,0,0,34.2052627529741,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",2,"5 on 4",0,1,"Play",1,"Direct","Kelly Pannek",130,28,0.962219893932343,0.951475083827972,10
"Hilary Knight",983,193,18,5,13.807458397113,"Emily Clark",20.4559689901061,"Renata Fast",0,0,0,35.6931365951495,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",2,"5 on 4",0,1,"Play",1,"Direct","Hannah Brandt",158,11,0.770760834217072,0.851606726646423,7
"Hilary Knight",989,157,12,5,29.2895630732963,"Emily Clark",31.2295490951585,"Ann-Renee Desbiens",0,0,0,23.0217288664427,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",2,"5 on 4",0,1,"Play",1,"Direct","Cayla Barnes",134,11,0.958127915859222,0.905270636081696,10
"Jenni Hiirikoski",390,134,46,5,8.56676446577621,"Alina Muller",29.3992556520174,"Noemi Ryhner",0,0,0,34.7131099154196,"16/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Switzerland","home",1,"5 on 4",1,0,"Play",1,"Direct","Petra Nieminen",160,69,0.633608400821686,0.895874738693237,1
"Jenni Hiirikoski",67,134,8,5,8.70179939369656,"Sinja Leemann",18.3297194214424,"Noemi Ryhner",0,0,0,66.1211010192662,"16/2/2022",2021,"Olympic (Women) - Finland","Olympic (Women) - Switzerland","home",3,"5 on 4",3,0,"Play",1,"Direct","Michelle Karvinen",138,74,0.96247124671936,0.929784417152405,3
